,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,193,001-0111,ENGINE,oil filter,FALSE,TRUE,FALSE,1 PCS,RT - C28,,,,,,,,,,
,194,001-0112,ENGINE,filter element up to a reading of 1000 km,FALSE,TRUE,FALSE,1 PCS,RT - C28,,,,,,,,,,
,195,001-0113,ENGINE,oil pan  ,FALSE,TRUE,FALSE,1 PCS,RT - C33,,,,,,,,,,
,196,001-0114,ENGINE,guide tube,FALSE,TRUE,FALSE,1 PCS,RT - C33,,,,,,,,,,
,197,002-0029,UNDERCARIAGE,Screw (89),FALSE,TRUE,FALSE,2 PCS,RT - C13,,,,,,,,,,
,198,002-0030,UNDERCARIAGE,Spring (113),FALSE,TRUE,FALSE,2 PCS,RT - C13,,,,,,,,,,
,199,002-0031,UNDERCARIAGE,Spring (109),FALSE,TRUE,FALSE,2 PCS,RT - C13,,,,,,,,,,
,200,002-0032,UNDERCARIAGE,Protective plate,FALSE,TRUE,FALSE,2 PCS,RT - C37,,,,,,,,,,
,201,001-0115,ENGINE,Bracket (358),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,202,001-0116,ENGINE,Clamp (416),FALSE,TRUE,FALSE,1 PCS,RT - C10,,"15/04/2026
MAULANA",Keranjang 3 ,,,,,,,
,203,001-0117,ENGINE,Bracket rear (310),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,204,001-0118,ENGINE,Bracket front (318),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,205,001-0119,ENGINE,Bracket (398),FALSE,FALSE,TRUE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,206,003-0024,ELECTRICAL,Electric motor,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 2,,,,,,,
,207,002-0033,UNDERCARIAGE,Contact plate,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,208,002-0034,UNDERCARIAGE,contact ring,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,209,002-0035,UNDERCARIAGE,Bracket (674),FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,210,002-0036,UNDERCARIAGE,-624,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,211,004-0014,INTERIOR,panelling instrument panel top left,FALSE,TRUE,FALSE,1 PCS,RT - C12,,,,,,,,,,
,212,004-0015,INTERIOR,Panelling Instrument Panel Top Right  ,FALSE,TRUE,FALSE,1 PCS,RT - C24,,,,,,,,,,
,213,005-0008,EXTERIOR,door check (258),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,214,005-0009,EXTERIOR,plate door check (247),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,215,005-0010,EXTERIOR,door locking device (127),FALSE,FALSE,TRUE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,216,005-0011,EXTERIOR,Plate (269),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,217,005-0012,EXTERIOR,shim door lock 1mm (159),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,218,005-0013,EXTERIOR,Rod (55),FALSE,TRUE,FALSE,2 PCS,RT - C9,,,Keranjang 1,,,,,,,
,219,005-0014,EXTERIOR,door locking device right ,FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,220,001-0120,ENGINE,Seal Oil Filter  ,FALSE,TRUE,FALSE,1 PCS,RT - C21,,,,,,,,,,
,221,005-0015,EXTERIOR,door locking device left,FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,222,005-0016,EXTERIOR,Interior Handle Assembly Right & Left (165),FALSE,TRUE,FALSE,2 SET,RT - C12,,,Keranjang 1,,,,,,,
,223,001-0121,ENGINE,reinforcement (298),FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,224,001-0122,ENGINE,Rubber ring,FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,225,001-0123,ENGINE,Protective plate,FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,226,001-0123,ENGINE,Gasket (47),FALSE,TRUE,FALSE,8 PCS,RT - C21,,,,,,,,,,
,227,002-0037,UNDERCARIAGE,Ball bearing,FALSE,TRUE,FALSE,2 PCS,RT - C21,,,,,,,,,,
,228,002-0038,UNDERCARIAGE,Protective cap (141),FALSE,TRUE,FALSE,2 PCS,RT - C21,,,,,,,,,,
,229,002-0039,UNDERCARIAGE,Washer (50),FALSE,TRUE,FALSE,1 PCS,RT - C21,,,,,,,,,,
,230,001-0124,ENGINE,Cylinder head gasket left/right,FALSE,TRUE,FALSE,1 PCS,RT - C27,,,,,,,,,,
,231,005-0017,EXTERIOR,angle crank operated window (418),FALSE,TRUE,FALSE,4 PCS,RT - C12,,,Keranjang 1,,,,,,,
,232,004-0016,INTERIOR,Hose (213),FALSE,FALSE,TRUE,4 PCS,RT - C3,,,Keranjang 1,,,,,,,
,233,005-0018,EXTERIOR,Connection right,FALSE,TRUE,FALSE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,234,005-0019,EXTERIOR,Connection left,FALSE,TRUE,FALSE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,235,005-0020,EXTERIOR,Mounting bottom (290),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,236,001-0124,ENGINE,Fan drive,FALSE,FALSE,TRUE,1 PCS,RT - C25,,,,,,,,,,
,237,001-0125,ENGINE,Pulley fan/water pump,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,238,001-0126,ENGINE,Hose (239),FALSE,FALSE,TRUE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,239,001-0127,ENGINE,Pipe blow,FALSE,TRUE,FALSE,1 PCS,RT - C21,,,,,,,,,,
,240,001-0128,ENGINE,Hose (17),FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,241,001-0129,ENGINE,Hose (14),FALSE,TRUE,FALSE,1 PCS,RT - C9,,,Keranjang 1,,,,,,,
,242,001-0130,ENGINE,V-belt,FALSE,FALSE,TRUE,1 PCS,RT - C5,,,,,,,,,,
,243,,,346,FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,244,,,344,FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,245,,,323,FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,246,,,324,FALSE,TRUE,FALSE,1 PCS,RT - C33,,,,,,,,,,
,247,,,Wire spiral from operating lever to air duct,FALSE,TRUE,FALSE,2 PCS,RT - C21,,,,,,,,,,
,248,002-0040,UNDERCARIAGE,Shock absorber,FALSE,FALSE,TRUE,2 PCS,RT - C18,,,,,,,,,,
,249,005-0021,EXTERIOR,pad (77),FALSE,FALSE,TRUE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,250,001-0131,ENGINE,boot (143),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 1,,,,,,,
,251,001-0132,ENGINE,Hose (24),FALSE,FALSE,TRUE,1 PCS,RT - C3,,,Keranjang 1,,,,,,,
,252,005-0022,EXTERIOR,rubber buffer front (182),FALSE,TRUE,FALSE,6 PCS,RT - C12,,,Keranjang 1,,,,,,,
,253,005-0024,EXTERIOR,Handle (427),FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,254,005-0025,EXTERIOR,Ornamental cover bottom right,FALSE,TRUE,FALSE,1 PCS,RT - C3,,,,,,,,,,
,255,005-0026,EXTERIOR,Ornamental cover right / Left,FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 1,,,,,,,
,256,005-0027,EXTERIOR,ornamental cover bottom left,FALSE,TRUE,FALSE,1 PCS,RT - C3,,,,,,,,,,
,257,005-0028,EXTERIOR,wiper blade,FALSE,FALSE,TRUE,1 PCS,RT - C10,,,,,,,,,,
,258,005-0029,EXTERIOR,Wiper rubber 330 mm,FALSE,FALSE,TRUE,1 PCS,RT - C10,,,,,,,,,,
,259,005-0030,EXTERIOR,Covering (399),FALSE,TRUE,FALSE,1 PCS,RT - C12,,,Keranjang 1,,,,,,,
,260,004-0017,INTERIOR,Steering wheel,FALSE,TRUE,FALSE,1 PCS,RT - C2,,,,,,,,,,
,261,004-0018,INTERIOR,Pad (701),FALSE,TRUE,FALSE,1 PCS,RT - C2,,,,,,,,,,
,262,004-0019,INTERIOR,Housing instruments,FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,263,003-0025,ELECTRICAL,Horn,FALSE,TRUE,FALSE,2 PCS,RT - C4,,,,,,,,,,
,264,003-0026,ELECTRICAL,neg. Cable ,FALSE,TRUE,FALSE,2 PCS,RT - C4,,,,,,,,,,
,265,003-0027,ELECTRICAL,mounting frame,FALSE,TRUE,FALSE,1 PCS,RT - C4,,,,,,,,,,
,266,,,grommet (211),FALSE,TRUE,FALSE,3 PCS,RT - C4,,,,,,,,,,
,267,004-0031,EXTERIOR,instrument panel two part,FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,268,004-0032,EXTERIOR,covering loadspeaker,FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,269,004-0033,EXTERIOR,glove compartment lid ,FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,270,004-0034,EXTERIOR,panelling central ,FALSE,TRUE,FALSE,1 PCS,RT - C32,,,,,,,,,,
,271,004-0035,EXTERIOR,lining,FALSE,TRUE,FALSE,1 PCS,RT - C24,,,,,,,,,,
,272,004-0036,EXTERIOR,shell tray between the front seats,FALSE,TRUE,FALSE,1 PCS,RT - C24,,,,,,,,,,
,273,003-0028,ELECTRICAL,clamp (189),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,,,,,,,,
,274,002-0041,UNDERCARIAGE,rubber mounting ,FALSE,FALSE,TRUE,2 PCS,RT - C21,,,,,,,,,,
,275,002-0042,UNDERCARIAGE,rubber mounting with clamping plate,FALSE,FALSE,TRUE,1 PCS,RT - C21,,,,,,,,,,
,276,002-0043,UNDERCARIAGE,seal ring (571),FALSE,FALSE,TRUE,1 PCS,RT - C21,,,,,,,,,,
,277,002-0044,UNDERCARIAGE, boot (636),FALSE,FALSE,TRUE,1 PCS,RT - C21,,,,,,,,,,
,278,002-0045,UNDERCARIAGE, boot (611),FALSE,FALSE,TRUE,1 PCS,RT - C21,,,,,,,,,,
,279,002-0046,UNDERCARIAGE,rubber mounting (371),FALSE,FALSE,TRUE,2 PCS,RT - C21,,,,,,,,,,
,280,002-0047,UNDERCARIAGE,clamp rear axle housing  ,FALSE,TRUE,FALSE,1 PCS,RT - C21,,,,,,,,,,
,281,002-0048,UNDERCARIAGE,screw (324),FALSE,TRUE,FALSE,4 PCS,RT - C21,,,,,,,,,,
,282,002-0049,UNDERCARIAGE,spring washer (334),FALSE,TRUE,FALSE,3 PCS,RT - C21,,,,,,,,,,
,283,001-0132,ENGINE,fuel pump electric,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,284,001-0133,ENGINE,filter fuel,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,285,,,pipe (343),FALSE,TRUE,FALSE,1 PCS,RT - C5,,,,,,,,,,
,286,001-0134,ENGINE,switch automatic ,FALSE,FALSE,TRUE,1 PCS,RT - C4,,,Keranjang 1,,,,,,,
,287,001-0135,ENGINE,rocker arm ,FALSE,TRUE,FALSE,16 PCS,RT - C5,,,,,,,,,,
,288,001-0136,ENGINE,spring,FALSE,TRUE,FALSE,16 PCS,RT - C5,,,,,,,,,,
,289,001-0137,ENGINE,thrust washer,FALSE,TRUE,FALSE,16 PCS,RT - C5,,,,,,,,,,
,290,004-0020,INTERIOR,GLOVE COMPARTMENT  ,FALSE,TRUE,FALSE,1 PCS,RT - C20,,,,,,,,,,
,291,005-0037,EXTERIOR,Ventilator window right/left,FALSE,TRUE,FALSE,1 PCS,RT - B29,,,,,,,,,,
,292,005-0038,EXTERIOR,outer moulding,FALSE,TRUE,FALSE,1 PCS,RT - C8,,,,,,,,,,
,293,001-0138,ENGINE, repair kit (80),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 1,,,,,,,
,294,001-0139,ENGINE,bracket engine support to frame floor unit,FALSE,TRUE,FALSE,2 PCS,RT - C3,,,Keranjang 1,,,,,,,
,295,001-0140,ENGINE, support,FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 1,,,,,,,
,296,001-0141,ENGINE, engine support rear,FALSE,TRUE,FALSE,1 PCS,RT - C26,,,,,,,,,,
,297,001-0142,ENGINE,repair kit (252),FALSE,FALSE,TRUE,1 PCS,RT - C3,,,Keranjang 1,,,,,,,
,298,003-0029,ELECTRICAL,bracket (74),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,299,003-0030,ELECTRICAL,bracket (259),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,300,003-0031,ELECTRICAL,bracket ,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3 ,,,,,,,
,301,003-0032,ELECTRICAL, switch (301),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,,,,,,,,
,302,001-0143,ENGINE,clamp (146),FALSE,TRUE,FALSE,3 PCS,RT - C10,,,Keranjang 3,,,,,,,
,303,002-0050,UNDERCARIAGE,repair kit shock absorber ,FALSE,FALSE,TRUE,4 PCS,RT - C21,,,,,,,,,,
,304,001-0144,ENGINE,guide (47),FALSE,FALSE,TRUE,4 PCS,RT - C4,,,,,,,,,,
,305,005-0039,EXTERIOR,WINDOW CRANK Mechanism Opener,FALSE,TRUE,FALSE,2 PCS,RT - C21,,,,,,,,,,
,306,,,,FALSE,TRUE,FALSE,2 PCS,RT - C12,,,,,,,,,,
,307,,,,FALSE,TRUE,FALSE,1 PCS,RT - C4,,,,,,,,,,
,308,003-0033,ELECTRICAL,cap (195),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,309,001-0145,ENGINE,repair kit radiator mounting,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 2,,,,,,,
,310,004-0021,INTERIOR,grill dashboard,FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,311,004-0022,INTERIOR,wood panel frame kaca depan atas r dan l,FALSE,TRUE,FALSE,2 PCS,RT - C31,,,,,,,,,,
,312,001-0146,ENGINE,vacuum one way,FALSE,TRUE,FALSE,1 PCS,RT - C9,,,,,,,,,,
,313,005-0040,EXTERIOR,karet rel kaca pintu,FALSE,FALSE,TRUE,1 PCS,RT - C16,,,,,,,,,,
,314,004-0023,INTERIOR, wood panel dashboard belakang,FALSE,TRUE,FALSE,1 PCS,RT - C31,,,,,,,,,,
,315,001-0147,ENGINE,bracket kompresor ac,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,316,004-0024,INTERIOR,rangka headrest,FALSE,TRUE,FALSE,2 PCS,RT - C20,,,,,,,,,,
,317,003-0051,UNDERCARIAGE,Hawa gardan,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,318,002-0052,UNDERCARIAGE,cover baut shockbreaker blk,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,319,001-0148,ENGINE,Baut tensioner+pully tensioner kompresor ac,FALSE,TRUE,FALSE,6 PCS,RT - C22,,,,,,,,,,
,320,003-0034,ELECTRICAL,switch di bawah switch pintu,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,321,001-0149,ENGINE,naple selang bensin ,FALSE,TRUE,FALSE,6 PCS,RT - C22,,,,,,,,,,
,322,004-0025,INTERIOR,Sambungan karet pintu ,FALSE,FALSE,TRUE,1 PCS,RT - C22,,,,,,,,,,
,323,002-0053,UNDERCARIAGE,Mur knuckle,FALSE,TRUE,FALSE,9 PCS,RT - C22,,,,,,,,,,
,324,002-0054,UNDERCARIAGE,Karey shock mounting,FALSE,TRUE,FALSE,6 PCS,RT - C22,,,,,,,,,,
,325,005-0041,EXTERIOR,Stoper regulator kaca,FALSE,TRUE,FALSE,3 PCS,RT - C22,,,,,,,,,,
,326,002-0055,UNDERCARIAGE,Cover bracket shock absorber depan bagian atas,FALSE,FALSE,TRUE,2 PCS,RT - C22,,,,,,,,,,
,327,005-0042,EXTERIOR, Lock pintu,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,328,005-0043,EXTERIOR,Sekrup pembuka kap mesin,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,329,005-0044,EXTERIOR,bracket regulator kaca samping belakang R,FALSE,TRUE,FALSE,2 PCS,RT - C2,,,,,,,,,,
,330,001-0150,ENGINE,Gas linkage,FALSE,TRUE,FALSE,9 PCS,RT - C22,,,,,,,,,,
,331,003-0035,ELECTRICAL,saklar blower ac,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,332,003-0036,ELECTRICAL,clamp kabel part belas penyimpanan ,FALSE,FALSE,TRUE,1 KTG,RT - C22,,,,,,,,,,
,333,004-0026,INTERIOR,wood panel console box ,FALSE,TRUE,FALSE,1 PCS,RT - C31,,,,,,,,,,
,334,003-0037,ELECTRICAL,radio,FALSE,TRUE,FALSE,1 PCS,RT - C18,,,,,,,,,,
,335,001-0152,ENGINE,Seal ring (92),FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,336,002-0056,UNDERCARIAGE,Bushing (53),FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,337,002-0057,UNDERCARIAGE, Rubber buffer (77),FALSE,FALSE,TRUE,4 PCS,RT - C22,,,,,,,,,,
,338,,,Rubber mounting,FALSE,FALSE,TRUE,1 PCS,RT - C22,,,,,,,,,,
,339,001-0153,ENGINE, Hose (168),FALSE,FALSE,TRUE,2 PCS,RT - C22,,,,,,,,,,
,340,001-0154,ENGINE,Water pump range of delivery,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,341,004-0027,INTERIOR,perangkat safety belt ,FALSE,TRUE,FALSE,1 SET,RT - C21,,,,,,,,,,
,342,004-0028,INTERIOR, footstep ,FALSE,FALSE,TRUE,2 PCS,RT - C16,,,,,,,,,,
,343,004-0029,INTERIOR,moulding kaca belakang samping ,FALSE,TRUE,FALSE,2 PCS,RT - C31,,,,,,,,,,
,344,001-0155,ENGINE, pipa vacum modulasi matic ,FALSE,TRUE,FALSE,1 PCS,RT - C16,,,,,,,,,,
,345,004-0030,INTERIOR,Panelling bottom left,FALSE,TRUE,FALSE,1 PCS,RT - C24,,,,,,,,,,
,346,001-0156,ENGINE,bracket extra fan,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,347,004-0031,INTERIOR,Panelling bottom right,FALSE,TRUE,FALSE,1 PCS,RT - C31,,,,,,,,,,
,348,001-0157,ENGINE,Perangkat idle steer,FALSE,TRUE,FALSE,10 PCS,RT - C22,,,,,,,,,,
,349,004-0032,INTERIOR, Part jok bagian L,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,350,001-0158,ENGINE,Claim selang air dan bensin,FALSE,FALSE,TRUE,26 PCS,RT - C22,,,,,,,,,,
,351,002-0058,UNDERCARIAGE,Karet per gardan ,FALSE,FALSE,TRUE,2 PCS,RT - C22,,,,,,,,,,
,352,002-0059,UNDERCARIAGE,Bushing pedal,FALSE,FALSE,TRUE,2 PCS,RT - C22,,,,,,,,,,
,353,003-0038,ELECTRICAL,Boot soket kabel engine,FALSE,FALSE,TRUE,5 PCS,RT - C22,,,,,,,,,,
,354,005-0045,EXTERIOR,Karet kaca segitiga,FALSE,FALSE,TRUE,1 KTG,RT - C22,,,,,,,,,,
,355,002-0039,UNDERCARIAGE,As idle steer,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,356,001-0159,ENGINE,Gasket rumah filter udara,FALSE,FALSE,TRUE,1 PCS,RT - C22,,,,,,,,,,
,357,002-0040,UNDERCARIAGE,Both wheel cylinder,FALSE,TRUE,FALSE,4 PCS,RT - C22,,,,,,,,,,
,358,001-0160,ENGINE,Engine mounting,FALSE,FALSE,TRUE,2 PCS,RT - C22,,,,,,,,,,
,359,005-0046,EXTERIOR,Bracket kaca segitiga,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,360,004-0033,INTERIOR,cover right r.l,FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,361,,,Bosh klep ,FALSE,FALSE,TRUE,14 PCS,RT - C22,,,,,,,,,,
,362,005-0047,EXTERIOR,Dudukan lampu plat nomor,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,363,005-0048,EXTERIOR,Tiang kaca samping belakang,FALSE,TRUE,FALSE,1 PCS,RT - C33,,,,,,,,,,
,364,002-0059,UNDERCARIAGE,plat kampas rem belakang,FALSE,TRUE,FALSE,2 PCS,RT - C22,,,,,,,,,,
,365,001-0161,ENGINE,Selang reservoir radiator,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,366,001-0162,ENGINE,Slang intake manifold,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,367,001-0163,ENGINE,Gasket dop engine,FALSE,TRUE,FALSE,3 PCS,RT - C22,,,,,,,,,,
,368,001-0164,ENGINE,Slang intake manifold,FALSE,FALSE,TRUE,1 PCS,RT - C22,,,,,,,,,,
,369,003-0040,ELECTRICAL,Bracket kabel body,FALSE,TRUE,FALSE,1 PCS,RT - C22,,,,,,,,,,
,370,004-0034,INTERIOR,Potongan lis pelipit kaca,FALSE,FALSE,TRUE,1 PCS,RT - C22,,,,,,,,,,
,371,004-0035,INTERIOR,Cover speaker,FALSE,TRUE,FALSE,2 PCS,RT - C32,,,,,,,,,,
,372,003-0041,ELECTRICAL,Speaker,FALSE,TRUE,FALSE,2 PCS,RT - C35,,,,,,,,,,
,373,001-0165,ENGINE,Bushing klep,FALSE,TRUE,FALSE,7 PCS,RT - C6,,,,,,,,,,
,374,001-0166,ENGINE,Bracket pompa power steering,FALSE,TRUE,FALSE,1 PCS,RT - C6,,,,,,,,,,
,375,001-0167,ENGINE,Water pump (176),FALSE,FALSE,TRUE,1 PCS,RT - C6,,,,,,,,,,
,376,002-0060,UNDERCARIAGE,Karet arm belakang,FALSE,FALSE,TRUE,1 PCS,RT - C6,,,,,,,,,,
,377,005-0049,EXTERIOR,Per stang wiper,FALSE,FALSE,TRUE,2 PCS,RT - C6,,,,,,,,,,
,378,001-0168,ENGINE,Stoper cap motor,FALSE,FALSE,TRUE,2 PCS,RT - C6,,,,,,,,,,
,379,003-0042,ELECTRICAL,Saklar lampu jauh dekat,FALSE,TRUE,FALSE,1 PCS,RT - C6,,,,,,,,,,
,380,002-0061,UNDERCARIAGE,O ring dudukan gardan,FALSE,FALSE,TRUE,5 PCS,RT - C6,,,,,,,,,,
,381,001-0169,ENGINE,Baut fly wheel,FALSE,TRUE,FALSE,8 PCS,RT - C6,,,,,,,,,,
,382,002-0062,UNDERCARIAGE,Packing dudukan katrol rem tangan,FALSE,FALSE,TRUE,1 PCS,RT - C6,,,,,,,,,,
,383,002-0063,UNDERCARIAGE,Release spring per pegangan kanvas rem,FALSE,FALSE,TRUE,1 PCS,RT - C6,,,,,,,,,,
,384,001-0170,ENGINE,Diaphragma pressure damper Oli,FALSE,FALSE,TRUE,1 PCS,RT - C6,,,,,,,,,,
,385,001-0171,ENGINE,Intake manifold pressure sensor,FALSE,TRUE,FALSE,1 PCS,RT - C6,,,,,,,,,,
,386,,,,FALSE,TRUE,FALSE,1 PCS,RT - C6,,,,,,,,,,
,387,,,,FALSE,TRUE,FALSE,1 PCS,RT - C6,,,,,,,,,,
,388,,,,FALSE,TRUE,FALSE,4 PCS,RT - C6,,,,,,,,,,
,389,,,,FALSE,TRUE,FALSE,10 PCS,RT - C6,,,,,,,,,,
,390,004-0036,INTERIOR,Cover perseneling matic,FALSE,TRUE,FALSE,1 PCS,RT - C13,,,,,,,,,,
,391,004-0037,INTERIOR,Perangkat asbak,FALSE,TRUE,FALSE,4 PCS,RT - C13,,,,,,,,,,
,392,004-0038,INTERIOR,,FALSE,FALSE,TRUE,2 PCS,RT - C35,,,,,,,,,,
,393,004-0039,INTERIOR,laci dashboard,FALSE,TRUE,FALSE,2 PCS,RT - C35,,,,,,,,,,
,394,,,,FALSE,TRUE,FALSE,1 PCS,RT - C35,,,,,,,,,,
,395,005-0050,EXTERIOR,Per spion tengah,FALSE,TRUE,FALSE,3 PCS,RT - C35,,,,,,,,,,
,396,003-0043,ELECTRICAL,Valve (16),FALSE,TRUE,FALSE,1 PCS,RT - C3,,,Keranjang 1,,,,,,,
,397,003-0044,ELECTRICAL,Reading lamp,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 1,,,,,,,
,398,003-0045,ELECTRICAL,,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 1,,,,,,,
,399,003-0046,ELECTRICAL,Reading lamp at roof front rall,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 1,,,,,,,
,400,003-0047,ELECTRICAL,Reading lamp,FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 1,,,,,,,
,401,003-0048,ELECTRICAL,Contactor,FALSE,TRUE,FALSE,2 PCS,RT - C10,,,Keranjang 1,,,,,,,
,402,003-0049,ELECTRICAL, Lens,FALSE,TRUE,FALSE,4 PCS,RT - B31,,,,,,,,,,
,403,001-0172,ENGINE,diaphragm,FALSE,TRUE,FALSE,1 PCS,RT - C4,,,,,,,,,,
,404,004-0040,INTERIOR,Mounting (69),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,,,,,,,,
,405,002-0064,UNDERCARIAGE,repair kit wheel bearing ,FALSE,TRUE,FALSE,4 PCS,RT - C19,,,Keranjang 1,,,,,,,
,406,,,115,FALSE,TRUE,FALSE,1 PCS,RT - C20,,,,,,,,,,
,407,,,7,FALSE,TRUE,FALSE,1 PCS,RT - C20,,,,,,,,,,
,408,005-0051,EXTERIOR,Lis kisi kisi grill depan horizontal,FALSE,TRUE,FALSE,8 PCS,RT - B31,,,,,,,,,,
,409,005-0052,EXTERIOR,Kisi kisi grill depan vertical,FALSE,TRUE,FALSE,1 PCS,RT - B31,,,,,,,,,,
,410,005-0053,EXTERIOR,Mercedes star,FALSE,TRUE,FALSE,1 PCS,RT - B30,,,,,,,,,,
,411,005-0054,EXTERIOR,retaining,FALSE,TRUE,FALSE,2 PCS,RT - B31,,,,,,,,,,
,412,005-0055,EXTERIOR,window regulator rail,FALSE,TRUE,FALSE,2 PCS,RT - B26,,,,,,,,,,
,413,005-0056,EXTERIOR,Window guide left rear,FALSE,FALSE,TRUE,1 PCS,RT - B28,,,,,,,,,,
