,,,,,,,,,,,,,,,,,,,
PILIH UNIT MOBIL DI SINI ➡️,PAGODA Mr. DIDI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,NO,KODE PART,BAGIAN /,NAMA PART,KONDISI,,,JUMLAH,LOKASI,TANGGAL,,KETERANGAN,FOTO,,,,,,
,,,PANEL,,BARU,READY,BEKAS,,,MASUK,KELUAR,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,41,002-0021,UNDERCARIAGE,LOCK (23),FALSE,FALSE,TRUE,1 PCS,RT - C13,,,,,,,,,,
,42,001-0009,ENGINE,Gauge sender unit (57),FALSE,TRUE,FALSE,1 PCS,RT - C10,,,Keranjang 3,,,,,,,
,43,003-0004,ELECTRICAL,Flexible shaft (508),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,44,003-0005,ELECTRICAL,Pipe line oil pressure gauge (408),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,,,,,,,,
,45,003-0006,ELECTRICAL,,FALSE,TRUE,FALSE,2 PCS,RT - C11,,,Keranjang 2,,,,,,,
,46,003-0007,ELECTRICAL,Speedometer,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,47,003-0008,ELECTRICAL,Tachometer transistorized Tachometer ,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,48,003-0009,ELECTRICAL,Lamp socket (392),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,49,003-0010,ELECTRICAL,temperature gauge centrigrade scale (349),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,50,003-0011,ELECTRICAL,Button (219),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,51,003-0012,ELECTRICAL,Clock,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,52,003-0013,ELECTRICAL,Housing speedometer,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,53,001-0010,ENGINE,Filler cup make huf (89),FALSE,TRUE,FALSE,1 PCS,RT - C17,,,,,,,,,,
,54,003-0013,ELECTRICAL,Housing instrument cluster,FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,55,003-0014,ELECTRICAL,Connecting plate (333),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,56,003-0015,ELECTRICAL,Potentiometer (328),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 2,,,,,,,
,57,001-0011,ENGINE,distributor cap ,FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,58,001-0012,ENGINE,Ignition cable (110),FALSE,TRUE,FALSE,9 PCS,RT - C4,,,Keranjang 3,,,,,,,
,59,001-0013,ENGINE,protective cap (131),FALSE,TRUE,FALSE,8 PCS,RT - C4,,,Keranjang 3,,,,,,,
,60,001-0014,ENGINE,suppressor plug (128),FALSE,TRUE,FALSE,8 PCS,RT - C4,,,Keranjang 3,,,,,,,
,61,001-0015,ENGINE,vacuum box (20),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,62,001-0016,ENGINE,lever (62),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,63,001-0017,ENGINE,Pulse generator (23),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,64,001-0018,ENGINE,distributor (11),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,65,001-0019,ENGINE,Ignition distributor (5),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,66,001-0020,ENGINE,cap (14),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,67,001-0021,ENGINE,condenser (29),FALSE,TRUE,FALSE,1 PCS,RT - C4,,,Keranjang 3,,,,,,,
,68,001-0022,ENGINE,bracket (164),FALSE,TRUE,FALSE,2 PCS,RT - C4,,,Keranjang 3,,,,,,,
,69,001-0023,ENGINE,spark plug,FALSE,TRUE,FALSE,9 PCS,RT - C4,,,Keranjang 3,,,,,,,
,70,003-0016,ELECTRICAL,lens fron (orange),FALSE,TRUE,FALSE,2 PCS,RT - C11,,,Keranjang 1,,,,,,,
,71,003-0017,ELECTRICAL,lens red rear,FALSE,TRUE,FALSE,2 PCS,RT - C11,,,Keranjang 1,,,,,,,
,72,003-0018,ELECTRICAL,relay (404),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 1,,,,,,,
,73,003-0019,ELECTRICAL,spring,FALSE,TRUE,FALSE,4 PCS,RT - C11,,,Keranjang 1,,,,,,,
,74,003-0020,ELECTRICAL,Relay (406),FALSE,TRUE,FALSE,1 PCS,RT - C11,,,Keranjang 1,,,,,,,
,75,004-0006,INTERIOR,handle plafon (135),FALSE,TRUE,FALSE,2 PCS,RT - C12,,,Keranjang 2,,,,,,,
,76,004-0007,INTERIOR,Handwheel,FALSE,TRUE,FALSE,4 PCS,RT - C5,,,,,,,,,,
,77,005-0003,EXTERIOR,Handle left door (143),FALSE,TRUE,FALSE,1 PC,RT - 12,,,Keranjang 2,,,,,,,
