,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Report Project DAILY JUNI,,,,,,,,,,,,,,,,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,,,"PROGRESS DONE ALL DIVISI PER UNIT DILUAR PEKERJAAN KD, KP & QA",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"PERHITUNGAN JAM KERJA DI LUAR TEAM MIS & WAREHOUSE (GABUNGAN MARGIN, NON MARGIN & ALL UNIT)",,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,,,UNIT MARGIN,,,,,,,,
,UNIT MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 8-13 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 15-21 JUNI,ACTUAL FOTO SPF (Done),,NAMA UNIT,MECHANIC,BODY WORK,BODY PAINT,INTERIOR,CHROME,BUBUT,TOTAL 22-30 JUNI,ACTUAL FOTO SPF (Done)
,7,MB 500 SEC Mr. DIKO,200:00,323:09,200:00,189:51,200:00,62:10,150:00,138:10,80:00,0:00,0:00,9:04,0:00,0:00,0:00,0:00,830:00,722:24,,"Senin, 08 Juni 2026",576:44,,,MB 500 SEL Mr. SILMY,0,0,0,0,0,0,0,0,,MB 300 CE Mr. DIKO,0,0,0,0,0,0,0,3,,MB 300 CE Mr. DIKO,19,2,0,0,0,0,21,12
,8,MB 500 SEL Mr. SILMY,0:00,34:47,0:00,0:00,0:00,32:37,0:00,23:13,0:00,0:00,0:00,0:00,0:00,2:41,0:00,0:00,0:00,93:18,,"Selasa, 09 Juni 2026",572:41,,,MB 190 SL Mr. ADRIAN,4,1,3,0,0,1,9,9,,MB 560 SEC Mr. SILMY,1,0,0,0,0,0,1,0,,MB 560 SEC Mr. SILMY,8,0,0,0,0,0,8,2
,9,MB 560 SEC Mr. SILMY,0:00,37:34,0:00,15:22,0:00,13:05,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,66:01,,"Rabu, 10 Juni 2026",564:38,,,MB PAGODA Mr. DIDI,1,3,3,0,0,0,7,5,,MB PONTON 220 S Mr. SANTOSO,2,6,3,0,0,0,11,9,,MB PONTON 220 S Mr. SANTOSO,0,1,15,0,3,0,19,16
,10,MB BATMAN Mr. ICHSAN,200:00,141:45,200:00,13:36,100:00,115:21,100:00,125:37,150:00,236:42,0:00,0:00,0:00,0:00,0:00,0:00,750:00,633:01,,"Kamis, 11 Juni 2026",550:29,,,MB 300 CE Mr. DIKO,6,0,1,1,0,0,8,7,,PORSCHE 930 Mr. ADRIAN,0,1,0,1,0,0,2,3,,PORSCHE 930 Mr. ADRIAN,21,3,3,0,0,0,27,12
,11,MB E320 SPORTLINE SILVER Mr. DIKO,250:00,219:06,200:00,43:15,250:00,331:32,200:00,34:59,50:00,13:00,0:00,4:07,0:00,5:17,0:00,0:00,950:00,651:16,,"Jumat, 12 Juni 2026",549:03,,,PORSCHE 993 Mr. ADRIAN,10,1,0,1,0,1,13,10,,PORSCHE 993 Mr. ADRIAN,9,1,6,0,0,0,16,11,,PORSCHE 993 Mr. ADRIAN,17,3,2,1,0,1,24,12
,12,MB GROSSER Mr. INDRA,200:00,30:50,100:00,128:17,100:00,27:58,100:00,0:00,0:00,7:04,0:00,0:00,0:00,0:00,0:00,0:00,500:00,194:09,,"Sabtu, 13 Juni 2026",352:46,,,MB 560 SEC Mr. SILMY,0,1,0,0,0,0,1,0,,JAGUAR XK120 Mr. JAMES,0,0,0,0,0,0,0,3,,JAGUAR XK120 Mr. JAMES,15,0,3,0,0,0,18,6
,13,MB MPS Mr. DIKO,200:00,214:38,200:00,6:00,200:00,190:40,200:00,53:47,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,800:00,465:05,,"Minggu, 14 Juni 2026",121:40,,,MB E320 SPORTLINE SILVER Mr. DIKO,26,2,3,8,0,1,40,29,,MB 190 SL Mr. ADRIAN,21,0,10,0,0,0,31,2,,MB 190 SL Mr. ADRIAN,3,0,0,3,0,0,6,4
,14,MB PAGODA Mr. DIDI,100:00,14:53,140:00,95:27,300:00,396:26,100:00,53:32,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,640:00,560:18,,"Senin, 15 Juni 2026",532:16,,,JAGUAR XK120 Mr. JAMES,5,0,1,5,0,0,11,7,,MB E320 SPORTLINE SILVER Mr. DIKO,3,0,1,0,0,0,4,21,,MB E320 SPORTLINE SILVER Mr. DIKO,13,5,21,0,2,0,41,24
,15,MB PAGODA Mr. SILMY,0:00,5:10,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,5:10,,"Selasa, 16 Juni 2026",563:11,,,MB R107 Mr. SILMY,2,0,0,0,0,0,2,0,,MB R107 Mr. SILMY,0,0,0,0,0,0,0,0,,MB R107 Mr. SILMY,12,0,0,0,0,0,12,4
,16,MB PONTON 220 S Mr. SANTOSO,150:00,56:38,50:00,12:20,200:00,179:49,150:00,37:09,100:00,22:00,0:00,0:00,0:00,0:00,0:00,0:00,650:00,307:56,,"Rabu, 17 Juni 2026",539:04,,,MB W212 Mr. BILLY,0,0,0,0,0,0,0,0,,FERRARI F355 Mr. SILMY,0,0,0,0,0,0,0,0,,FERRARI F355 Mr. SILMY,0,0,0,0,0,0,0,0
