,,,,,,,,,,,,,
,,,,,,,,,,,,,
NO,NAMA ,UNIT,TANGGAL,DIVISI,PEMBAHASAN,STATUS,,,KETERANGAN,APPROVAL COO,,STATUS PEMBAHASAN,
9,NANDA,PORSCHE 911 Mr. HANDY,"Kamis, 30 April 2026",BODY PAINT,"LAPISAN VERNIS / KULIT JERUK ADA BINTIK PORI-PORI DI BEBERAPA BAGIAN, BEBERAPA AREA LAPISAN VERNIS KURANG MERATA (KERING). SEHINGGA PADA SAAT PROSES SANDING VERNIS TIMBUL BINTIK PORI-PORI. YANG MENGERJAKAN SEBELUM NYA JAFAR (DALAM PROSES BELAJAR)

IZIN UNTUK PENINJAUAN LANGSUNG UNTUK MEMINTA ACC BAPAK DALAM MENENTUKAN TEXTURE YANG DIINGINKAN SEPERTI APA.",FALSE,FALSE,TRUE,SANDING VERNIS FENDER DEPAN LH SETELAH SELESAI PERLIHATKAN KE BAPAK. UNTUK VELG MINTA BU WIDYA KONFIRMASI KE PAK KOPONG APAKAH AKAN PERGUNAKAN KEMBALI ATAU TIDAK KARENA KONDISI FENDER DEPAN SAAT INI TERLIPAT,FALSE,TRUE,DONE,
10,NANDA,MB R129 Mr. DIKO,"Kamis, 30 April 2026",BODY PAINT,"BUMPER DEPAN AREA GRILL BERGELOMBANG. HASIL ANALISA BUMPER SUDAH PERNAH DIREPAIR DI WS SEBELUM NYA KARENA ADA BEKAS TAMBALAN / JAHITAN DI AREA BELAKANG GRILL. SUDAH COBA DIPERBAIKI /DIKETOK OLEH BODY WORK TAPI GELOMBANG MASIH ADA

SOLVING NYA:
PENGAJUAN UNTUK PENAMBAHAN / DIBUAT TAHANAN PLAT AGAR PART KOKOH. DIKERJAKAN BODY WORK PIC DAVIT ESTIMASI 16 JAM 
",FALSE,FALSE,TRUE,"TIDAK ACC, TOLERANSI GELOMBANG BERHITUNG WAKTU, LANJUT SAJA BODY PAINT",FALSE,TRUE,DONE,
11,JAYA ,PORSCHE 930 Mr. ADRIAN,"Kamis, 30 April 2026",BODY WORK ,"RAMBANG / COVER KONDENSOR YANG AKAN DIGUNAKAN SUDAH DI HUNTING TEAM PURCHASING MENEMUKAN PERSAMAAN, TAPI PEMBELIAN TIDAK BISA DI ECER HARUS MEMBELI LEMBARAN DENGAN HARGA 1 JUTA UKURAN 120 X 240 CM KEBUTUHAN 100 X 100 CM

IZIN UNTUK RAMBANG DI BELI SEBAGIAN DI PAKAI PORSCHE 930 SESUAI KEBUTUHAN SISA NYA MENJADI STOCK . ATAU OPSI 2 PAK KAMIN HUNTING KEMBALI DI JATAYU, TAPI AKAN MEMBUTUHKAN KEMBALI WAKTU UNTUK HUNTING (EFISIENSI WAKTU)",FALSE,FALSE,TRUE,"PAKAI PLAT STOCK YANG BULAT, UNTUK COVER INI DIRANCANG DAHULU DAN PRESENTASIKAN KEPADA BAPAK SETELAH KONDENSOR DI PASANG DI UNIT DAN SUDAH DI CAT",FALSE,TRUE,DONE,
12,FIKI ,MB MPS Mr. DIKO,"Kamis, 30 April 2026",MEKANIK ,PENINJAUAN PART UNTUK DI ORDER,FALSE,FALSE,TRUE,BEBERAPA GANTI DAN BEBERAPA PERGUNAKAN KEMBALI,TRUE,FALSE,DONE,Proses Hunting part
13,RIZKI M,KIJANG SM,"Jumat, 01 Mei 2026",MEKANIK ,POWER WINDOW BELAKANG KADANG MACET SAAT NAIK DARI SWITCH CENTRAL,FALSE,FALSE,TRUE,"SWITCH CENTRAL POWER WINDOW , SAFETY BELT R/L, FLASHER TUKAR DENGAN UNIT KIJANG BIRU, UNTUK REM DI BLEEDING.",FALSE,TRUE,DONE,
14,IQBAL N,FERRARI F355 Mr. SILMY,"Jumat, 01 Mei 2026",MEKANIK ,"COVER SPEEDOMETER GELOMBANG DAN CELAH BESAR , SOLVING REPAIR GANTI KULIT DAN PENAMBAHAN TULANGAN YG BERGELOMBANG",FALSE,FALSE,TRUE,"TIDAK ACC, TAMBAL SAJA DENGAN BUSA SEKELILING NYA,UNTUK BUSA NYA DI PERLIHATKAN DAHULU KE BAPAK",FALSE,TRUE,DONE,
15,FIKI ,MB MPS Mr. DIKO,"Senin, 04 Mei 2026",MEKANIK ,"RADIATOR TERDAPAT KEBOCORAN DI BAGIAN COVER NYA
IZIN REPAIR DI VENDOR / HUNTING ESTIMASI HARGA BARU",FALSE,FALSE,TRUE,"HUNTING HARGA DAN INFORMASIKAN KE BAPAK, CARI YANG DI MILAN SAMA SEPERTI SP ABU, UNTUK VIDIO PENGECEKAN DI SAMPAIKAN KE BU WIDYA UNTUK DI KIRIM KE PAK DIKO DAN INFORMASIKAN RADIATOR AKAN DI GANTI",TRUE,FALSE,DONE,
16,FIKI ,MB MPS Mr. DIKO,"Senin, 04 Mei 2026",MEKANIK ,"SPION DEPAN KIRI BUKAN ORIGINAL
IZIN UNTUK HUNTING UNTUK ESTIMASI HARGA DAN KETERSEDIAAN PART
",FALSE,FALSE,TRUE,"PASANGKAN KEMBALI, TIDAK MASALAH NO PART TIDAK TERLIHAT (TIDAK ORIGINAL)",FALSE,TRUE,DONE,
17,IMAN ,MB W124 E320 SPORTLINE Mr. MARTHIN,"Senin, 04 Mei 2026",MEKANIK ,"HANDLE PINTU TERDAPAT CAT DI HANDLE PINTU DAN CAT BAWAAN YANG MENGELUPAS, SUDAH KOORDINASI DENGAN BODY PAINT. JIKA CLEANING MENGGUNAKAN THINER ADA INDIKASI HANDLE PINTU AKAN RUSAK DAN BERWARNA PUTIH 

JIKA DI CAT KEMBALI ESTIMASI PENGERJAAN 4 JAM PIC DENDI

IJIN UNTUK DITINJAU LANGSUNG",FALSE,FALSE,TRUE,COBA DI HAMPLAS SEDIKIT + COMPOUND MERAH DAN PERLIHATKAN KEMBALI KE BAPAK,FALSE,TRUE,DONE,
18,YUDHA,RR Mr. STANLEY,"Senin, 04 Mei 2026",MEKANIK ,"A.	AIR SUSPENSI HASIL PERBAIKAN KEBOCORAN SUDAH DI CEK TIDAK DITEMUKAN KEBOCORAN, NAMUN UNTUK KETINGGIAN FENDER RH DAN LH MASIH SELISIH 1-2 CM
IJIN UNTUK PEMANGGILAN VENDOR UNTUK KALIBRASI KEMBALI SETELAH PROSES PEMINDAHAN SENSOR KETINGGIAN AIR SUSPENSI",FALSE,FALSE,TRUE,"TEST DRIVE DAHULU BAPAK BESOK, KEMUDIAN TUKAR SENSOR NYA DARI KANAN KE KIRI UNTUK UNIT DI KALIBRASI KEMBALI BAHAS SETELAH BAPAK TEST DRIVE",FALSE,TRUE,DONE,
19,YUDHA,RR Mr. STANLEY,"Senin, 04 Mei 2026",MEKANIK ,"STOP LAMP KIRI JUGA BEREMBUN, SEBELUM NYA HANYA YANG KANAN YG DI REPAIR SESUAI PERMINTAAN PAK WAWAN
IZIN UNTUK PELEPASAN DAN PENGECEKAN BAGIAN DALAM SEPERTI YANG SUDAH DILAKUKAN PADA BAGIAN KANAN.",FALSE,FALSE,TRUE,KERJAKAN,TRUE,FALSE,DONE,Tinggal cek kebocoran
20,NANDA,FERRARI F355 Mr. SILMY,"Senin, 04 Mei 2026",BODY PAINT,"DOORTRIM YANG SUDAH SELESAI DI SPRAY CAT SESUAI PENGAJUAN SEBELUM NYA DAN SUDAH DI ACC, HASOL QC PAK HERDY WARNA NYA KURANG SAMA DENGAN DASHBOARD DEPAN. WARNA DOORTRIM MENGACU PADA JOK.
NAMUN KONDISI WARNA DASHBOARD DEPAN DAN BELAKANG BAWAAN PUN BERBEDA.
SEHINGGA LAPANGAN BINGUNG MENENTUKAN WARNA YANG AKAN JADI ACUAN.
SAAT INI DOORTRIM YANG SUDAH SELESAI DI SPRAY, SAMA DENGAN WARNA JOK

IZIN MENINJAU LANGSUNG",FALSE,FALSE,TRUE,"SAMAKAN DENGAN DASHBOARD BELAKANG YG BERSEBELAHAN DENGAN DOORTRIM BAGIAN YG ATAS NYA SAJA, UNTUK PENGARAHAN KEPADA PAK HERDY",FALSE,TRUE,DONE,
21,NANDA,MB 500 SEL Mr. SILMY,"Senin, 04 Mei 2026",BODY PAINT,"CONSOLE BOX SEBELUM NYA DI INSTRUKSIKAN DI SPRAY CAT 1 LAPIS PAKAI CAT JOK, NAMUN SETELAH DI APLIKASIKAN WARNA TIDAK SAMA, KEMUNGKINAN KARENA KULIT JOK SUDAR TERGESEK-GESEK / MELAR JADI WARNA BERUBAH (TINGKAT SINAR DOP). SETELAH DI QC PAK HERDY, DAN BERDISKUSI UMTUK MIXING MENDEKATI WARNA JOK YANG AKAN BERSANDING DENGAN CONSOLE BOX. NAMUN WARNA JOK NYA PUN TERDAPAT PERBEDAAN ANTARA KANAN DAN KIRI. (JOK SEBELUM NYA GANTI KULIT TIDAK ADA POSES CAT)

IJIN MENINJAU LANGSUNG DAN MEMINTA ARAHAN WARNA YANG MENJADI ACUAN, PENINJAUAN DAPAT DILAKUKAN JAM 13:00 WIB (PROSES PENGERINGAN)
",FALSE,FALSE,TRUE,"DI SMOKE DAHULU KEMUDIAN PERLIHATKAN KEPADA BAPAK, CONSOLE BOX TIDAK MASALAH HARUS SAMA PERCIS UNTUK DI PERLIHATKAN KEMBALI KE BAPAK",FALSE,FALSE,DONE,
22,DERI,MB MPS Mr. DIKO,"Senin, 04 Mei 2026",PURCHASING,PEMBAHASAN HASIL HUNTING PART LOKAL DARI PAK DERI,FALSE,FALSE,TRUE,PART HLA PASANGKAN KEMBALI INFOKAN PAK RENDI JIKA ADA BANDING SAMPAIKAN KE BAPAK,FALSE,TRUE,DONE,
23,DERI,MB W212 Mr. BILLY,"Senin, 04 Mei 2026",PURCHASING,VGS BELI YANG CKP ,FALSE,FALSE,TRUE,INGATKAN BAPAK UNTUK BAHAS ATAU KONTAK KEPALA MEKANIK CKP NYA,TRUE,FALSE,DONE,
24,DERI,PORSCHE 930 Mr. ADRIAN,"Senin, 04 Mei 2026",PURCHASING,PENGAJUAN TIPS FERI TINTER,FALSE,FALSE,TRUE,ACC,TRUE,FALSE,DONE,
25,JAYA ,PORSCHE 930 Mr. ADRIAN,"Selasa, 05 Mei 2026",BODY WORK ,MELANJUTKAN PEMBAHASAN POLA COVER KONDENSOR AC UNTUK PORCHE 930,FALSE,FALSE,TRUE,acc kerjakan 40 jam oleh sandy,TRUE,FALSE,DONE,
